500,524288000.0,1.287e+19,50.50
1000,1048576000.0,2.573e+19,49.50
1500,1572864000.0,3.860e+19,47.50
2000,2097152000.0,5.146e+19,46.50
2500,2621440000.0,6.433e+19,48.50
3000,3145728000.0,7.720e+19,50.00
3500,3670016000.0,9.006e+19,48.50
4000,4194304000.0,1.029e+20,47.00
4500,4718592000.0,1.158e+20,47.50
4750,4980736000.0,1.222e+20,47.00
